ProgrammingLanguage
Logo
QPL
J++
AWK
Mary
FOCAL
SuperCollider
Objective-C
DASL
J#
NEWP
Picolisp
SOL
GRASS
Mirah
CMS-2
Oxygene
GPSS
CoffeeScript
Logtalk
NSIS
NetRexx
Chapel
Falcon
ABC
xHarbour
C/AL
FL
C#
FPr
PL-11
nesC
Onyx
Seed7
Zeno
Karel
Charity
VBA
Oak
Squirrel
GM
ABSYS
Planner
AppleScript
Redcode
Prograph
Autocoder
C Shell
Icon
XOTcl
Java
MIMIC
Visual Objects
ZPL
Shift Script
SETL
TTCN
J
Starlogo
OptimJ
Timber
ABC ALGOL
Ioke
HyperTalk
NewLISP
Gosu
Q (equational programming language)
Mercury
JOVIAL
Ladder
PL/SQL
IBM HAScript
Bourne shell
S
Go
Caml
HAL/S
Fortran
ObjectLOGO
Julia
SNOBOL
Metacard
Felix
KRL
Visual Basic
ParaSail (programming language)
Topspeed
ESPOL
Curry
SA-C
Verilog
Pict
Scala
GOTRAN
Etoys
EPL
MARK-IV
SISAL
X++
PowerBuilder
Ratfiv
L# .NET
L
JEAN
Xtend
Object REXX
rc
A++
ProvideX
Stateflow
Lingo
TOM
ML
LaTeX
G̦del
dBase
PL/I
MAD/I
TIE
Epigram
Dylan
Io
Subtext
SabreTalk
PROIV
DCL
Modula
QuakeC
Model 204
Flavors
TMG
rex
SAS
Haxe
MIVA Script
Scratch
MPD
Newspeak
Ateji PX
Moby
SYMPL
NPL
ColdC
NESL
EASYTRIEVE PLUS
GEORGE
FoxBase
SystemVerilog
Linoleum
Cecil
JavaFX Script
Script.NET
Alice
Visual DialogScript
Hack (programming language)
CPL
NATURAL
AMOS
Fortress
Goo
JCL
Perl
GLSL
Lisp
Yorick
o:XML
A# .NET
LISA
Fj̦lnir
Maya (MEL)
LC-3
csh
Fancy
M2001
Visual Prolog
Lagoona
Janus
XPath
Reia
Nial
DASL
Opal
Delphi
Mathematica
Small Basic
Machine code
OpenCL
Arc
Averest
LabVIEW
Alma-0
Object Pascal
EGL
Chef
FOCUS
Uniface
AutoLISP / Visual LISP
LilyPond
es
Cach̩ ObjectScript
